Description,Subject,Band Combination,Task Combination,Accuracy Score
ThreeClassSub1,a,,-,0.406
ThreeClassSub1,a,,-,0.383
ThreeClassSub1,a,,-,0.429
ThreeClassSub1,a,delta,-,0.316
ThreeClassSub1,a,delta,-,0.383
ThreeClassSub1,a,alpha,-,0.414
ThreeClassSub1,a,"delta, alpha",-,0.406
ThreeClassSub2,a,,-,0.568
ThreeClassSub2,a,,-,0.64
ThreeClassSub2,a,,-,0.584
ThreeClassSub2,a,delta,-,0.608
ThreeClassSub2,a,delta,-,0.72
ThreeClassSub2,a,alpha,-,0.64
ThreeClassSub2,a,"delta, alpha",-,0.664
TwoClassSub1,a,,onebacktwoback,0.64
TwoClassSub1,a,,onebacktwoback,0.607
TwoClassSub1,a,,onebacktwoback,0.534
TwoClassSub1,a,,onebacktwoback,0.618
TwoClassSub1,a,,onebacktwoback,0.562
TwoClassSub1,a,,onebacktwoback,0.545
TwoClassSub1,a,,onebacktwoback,0.573
TwoClassSub1,a,,onebacktwoback,0.618
TwoClassSub1,a,,onebacktwoback,0.591
TwoClassSub1_delta_alpha,k,,-,0.596
TwoClassSub1_delta_alpha,k,,-,0.618
TwoClassSub1_delta_alpha,k,,-,0.489
TwoClassSub1_delta_beta,k,,-,0.584
TwoClassSub1_delta_beta,k,,-,0.618
TwoClassSub1_delta_beta,k,,-,0.5
TwoClassSub1_alpha_beta,k,,-,0.64
TwoClassSub1_alpha_beta,k,,-,0.652
TwoClassSub1_alpha_beta,k,,-,0.534
TwoClassSub1,l,,onebacktwoback,0.652
TwoClassSub1,l,,onebacktwoback,0.629
TwoClassSub1,l,,onebacktwoback,0.557
TwoClassSub2,a,,onebacktwoback,0.771
TwoClassSub2,a,,onebacktwoback,0.602
TwoClassSub2,a,,onebacktwoback,0.774
TwoClassSub2,a,,onebacktwoback,0.687
TwoClassSub2,a,,onebacktwoback,0.759
TwoClassSub2,a,,onebacktwoback,0.845
TwoClassSub2,a,,onebacktwoback,0.759
TwoClassSub2,a,,onebacktwoback,0.699
TwoClassSub2,a,,onebacktwoback,0.821
TwoClassSub2_delta_alpha,k,,-,0.783
TwoClassSub2_delta_alpha,k,,-,0.663
TwoClassSub2_delta_alpha,k,,-,0.81
TwoClassSub2_delta_beta,k,,-,0.759
TwoClassSub2_delta_beta,k,,-,0.711
TwoClassSub2_delta_beta,k,,-,0.833
TwoClassSub2_alpha_beta,k,,-,0.735
TwoClassSub2_alpha_beta,k,,-,0.735
TwoClassSub2_alpha_beta,k,,-,0.833
TwoClassSub2,l,,onebacktwoback,0.687
TwoClassSub2,l,,onebacktwoback,0.711
TwoClassSub2,l,,onebacktwoback,0.893
